tail_number,origin_airport,destination_airport,airline,flight_number,departure_delay,scheduled_time,elapsed_time
N107SY,SAT,SFO,OO,6261,7,249,223
N11140,MCI,ORD,EV,3928,-1,94,83
N11150,JAX,EWR,EV,4160,-9,137,132
N12142,MKE,IAH,EV,4354,2,178,189
N12563,GSO,EWR,EV,5677,-18,94,90
N12967,CRP,IAH,EV,4557,-12,61,52
N13133,MCI,IAH,EV,4555,-2,135,138
N132EV,ORD,DTW,EV,5498,15,85,67
N14179,RIC,IAH,EV,4339,-2,205,220
N14998,ATL,IAD,EV,3268,16,105,103
N16561,LAN,ORD,EV,3941,0,69,75
N171US,SFO,CLT,US,840,-2,286,293
N17245,IAD,IAH,UA,1012,6,207,215
N172US,PHX,CLT,US,699,-11,224,199
N174US,PDX,PHX,US,425,60,150,150
N181PQ,CID,ATL,EV,5230,0,131,114
N190JB,PWM,JFK,B6,2807,-7,85,67
N197UW,ORD,PHX,US,602,-1,228,232
N201AA,LAS,DFW,AA,1088,-3,160,170
N218FR,MKE,DEN,F9,365,36,161,142
N231JB,MCO,EWR,B6,2228,-2,149,144
N236JB,MSY,JFK,B6,776,-10,168,160
N239JB,BQN,MCO,B6,1030,-3,173,196
N24224,MCO,EWR,UA,1163,-5,154,141
N249WN,ABQ,HOU,WN,2215,7,120,135
N26545,BRO,IAH,EV,4685,-3,74,72
N27200,BUF,EWR,EV,5976,213,80,93
N284JB,SYR,JFK,B6,115,-5,83,75
N292JB,BOS,BWI,B6,727,-4,101,84
N293WN,LAS,BWI,WN,4822,2,270,243
N29917,CHS,EWR,EV,4646,-5,116,122
N303AS,ANC,SEA,AS,114,-11,200,199
N30401,ORD,IAH,UA,1500,4,175,182
N307JB,SJU,MCO,B6,2134,95,185,175
N309AS,ANC,SEA,AS,108,-4,204,194
N31412,TPA,EWR,UA,1507,-6,156,149
N317JB,PSE,MCO,B6,768,-11,186,196
N320US,SLC,ATL,DL,95,-6,215,231
N324JB,JFK,SJU,B6,2023,43,225,201
N33294,SEA,EWR,UA,1637,6,311,291
N334JB,ROC,JFK,B6,185,-5,85,73
N337JB,BOS,BUF,B6,515,-9,96,99
N355NW,BNA,DTW,DL,2099,-9,103,106
N358JB,BUF,JFK,B6,2001,-5,88,78
N36207,BOS,LAX,UA,1431,3,404,396
N36476,SEA,DEN,UA,1607,-1,157,157
N37281,PDX,DEN,UA,1221,4,142,142
N37290,BOS,EWR,UA,1553,2,88,67
N37293,BQN,EWR,UA,1162,-1,240,247
N3730B,SFO,MSP,DL,806,-5,217,230
N3736C,PHX,DTW,DL,824,148,223,203
N3743H,ANC,SEA,DL,1560,-14,210,200
N37471,SAT,LAX,UA,1296,16,207,188
N3751B,SLC,ATL,DL,2324,-6,215,199
N375JB,ORD,BOS,B6,1012,-11,136,114
N377DA,DFW,ATL,DL,1890,18,124,104
N38451,BOS,ORD,UA,1198,-3,173,165
N389DA,BOS,DTW,DL,2079,-3,143,125
N389HA,LAS,HNL,HA,17,0,370,385
N3ASAA,DFW,MIA,AA,1057,108,161,155
N3AYAA,SFO,DFW,AA,1180,NULL,210,NULL
N3BAAA,LAX,DFW,AA,2410,10,180,172
N3BDAA,PHX,DFW,AA,2459,NULL,120,NULL
N3BEAA,BWI,MIA,AA,233,43,163,151
N3BFAA,DEN,ORD,AA,1028,1,155,127
N3CGAA,PHX,MIA,AA,2211,-11,239,234
N3CTAA,LAX,MIA,AA,115,-2,286,276
N3CXAA,MCO,MIA,AA,1323,-3,63,55
N3DXAA,SEA,DFW,AA,1094,0,235,251
N3ETAA,BOS,MIA,AA,2454,-5,208,215
N3EWAA,DCA,DFW,AA,175,NULL,215,NULL
N3FBAA,MIA,PHL,AA,196,4,164,174
N3FKAA,EWR,MIA,AA,1205,-7,183,177
N3FXAA,MIA,DFW,AA,281,-1,194,194
N3GFAA,MIA,LGA,AA,1084,-2,175,168
N3GKAA,MSY,MIA,AA,2204,-5,109,101
N3GWAA,DFW,LGA,AA,1100,-6,190,191
N3GXAA,SEA,MIA,AA,371,-8,338,347
N3HCAA,LGA,DFW,AA,1103,NULL,245,NULL
N3HMAA,LAX,ORD,AA,1515,-3,245,222
N3HRAA,DEN,MIA,AA,2392,21,227,208
N3HXAA,BOS,DFW,AA,1233,-4,275,269
N3HYAA,LAX,MIA,AA,258,-5,285,281
N3JYAA,LGA,MIA,AA,1297,68,192,174
N3KUAA,LAX,PBI,AA,2336,-8,280,279
N3KVAA,IAH,MIA,AA,89,58,141,137
N3LAAA,SFO,DFW,AA,1112,-11,195,193
N3LLAA,JFK,MIA,AA,2299,55,185,199
N407AS,ANC,SEA,AS,98,-11,205,194
N413AS,ANC,PDX,AS,122,-4,215,201
N415UA,OMA,ORD,UA,374,12,97,79
N423AS,ANC,SEA,AS,730,-8,205,199
N431AS,ANC,SEA,AS,136,NULL,205,NULL
N432SW,BJI,MSP,OO,7370,-3,60,72
N435SW,DEN,LAX,OO,2599,73,150,133
N439AA,TUL,DFW,AA,1345,-4,75,68
N439UA,PDX,EWR,UA,228,-3,314,282
N440AS,SEA,OAK,AS,342,-5,119,108
N445SW,ABR,MSP,OO,7419,-2,69,67
N453AS,LAX,SEA,AS,477,-5,170,166
N454UA,PBI,IAH,UA,214,-5,170,172
N457AS,FAI,SEA,AS,130,-8,213,218
N462UA,PHX,IAH,UA,247,111,148,160
N464AS,ANC,SEA,AS,134,-15,218,198
N464UA,RSW,IAH,UA,256,0,156,155
N467AA,TPA,DFW,AA,1573,-6,170,156
N476HA,HNL,KOA,HA,108,-1,42,48
N477HA,HNL,LIH,HA,103,-10,37,35
N484HA,HNL,OGG,HA,206,-11,36,36
N485HA,HNL,KOA,HA,218,-8,42,44
N486WN,BOS,BWI,WN,4122,-4,105,83
N492HA,HNL,ITO,HA,102,-8,49,51
N498UA,EWR,MCO,UA,319,3,173,152
N4XHAA,SLC,DFW,AA,304,1,170,181
N4XKAA,DEN,DFW,AA,328,53,125,138
N4YNAA,SAT,DFW,AA,1433,-6,65,59
N4YPAA,PDX,DFW,AA,1534,-4,225,226
N505AA,OMA,DFW,AA,2307,-6,120,131
N509NK,ORD,FLL,NK,409,-4,188,167
N510JB,RSW,JFK,B6,130,-3,161,162
N512AS,PHX,SEA,AS,631,-5,175,168
N514AS,ANC,PDX,AS,144,-10,210,209
N514NK,LAS,IAH,NK,298,-4,170,170
N519JB,AUS,JFK,B6,794,-1,203,194
N525NK,LAS,MCI,NK,520,25,162,143
N527AS,SEA,ANC,AS,135,-1,235,215
N527JB,OAK,LGB,B6,447,-8,80,78
N528NK,MSP,FLL,NK,597,12,207,220
N531JB,JFK,MCO,B6,583,-3,171,155
N532AS,GEG,SEA,AS,699,-2,75,80
N536JB,PBI,JFK,B6,154,-1,154,164
N536UW,MCO,PHX,US,459,-3,281,294
N541AA,MCI,DFW,AA,1039,6,105,102
N544UW,SMF,PHX,US,635,-9,110,131
N547US,LAX,MSP,DL,1434,0,214,210
N548UA,LAX,DEN,UA,495,0,145,136
N554CA,MKE,DTW,OO,4833,-2,74,55
N556JB,FLL,LGA,B6,272,-1,161,164
N560AA,OKC,DFW,AA,2363,10,65,85
N560SW,SMX,LAX,OO,6457,NULL,66,NULL
N560UW,SFO,PHX,US,610,-3,114,120
N567AA,SMF,DFW,AA,1660,11,210,230
N570JB,JFK,PBI,B6,353,-6,178,162
N571UW,LAS,CLT,US,413,-10,245,224
N573AA,AUS,DFW,AA,1178,-2,60,61
N577AS,SEA,ANC,AS,81,-3,234,224
N583SW,RDD,SFO,OO,5460,NULL,90,NULL
N584UW,LAX,CLT,US,2013,14,273,249
N585AA,LIT,DFW,AA,1411,-5,80,75
N587JB,PSE,JFK,B6,746,-3,241,239
N589AS,PDX,SJC,AS,406,-5,102,94
N593ML,EUG,DEN,OO,6391,-4,163,180
N597JB,SJU,EWR,B6,1990,-14,246,264
N5EKAA,DFW,MCO,AA,72,6,145,142
